# downloaded from https://www.ebi.ac.uk/interpro/result/download/#/protein/UniProt/entry/InterPro/IPR008160/taxonomy/uniprot/6239/|tsv and gene names obtained from https://wormbase.org/tools/mine/simplemine.cgi								
Accession	Source Database	Name	Tax ID	Tax Name	Length	WormBase Gene ID	Public Name	Species
O02271	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	370	WBGene00000640	col-64	Caenorhabditis elegans
O16787	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	315	WBGene00001071	dpy-9	Caenorhabditis elegans
O17035	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	314	WBGene00000714	col-141	Caenorhabditis elegans
O17036	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	325	WBGene00000715	col-142	Caenorhabditis elegans
O17209	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	298	WBGene00005017	sqt-2	Caenorhabditis elegans
O17641	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	283	WBGene00000751	col-178	Caenorhabditis elegans
O17642	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	283	WBGene00000752	col-179	Caenorhabditis elegans
O17734	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	336	WBGene00000731	col-158	Caenorhabditis elegans
O18097	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	312	WBGene00000660	col-85	Caenorhabditis elegans
O18286	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	298	WBGene00000672	col-97	Caenorhabditis elegans
O44173	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	290	WBGene00000679	col-105	Caenorhabditis elegans
O44174	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	281	WBGene00000678	col-104	Caenorhabditis elegans
O44796	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	329	WBGene00000644	col-68	Caenorhabditis elegans
O44904	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	302	WBGene00000663	col-88	Caenorhabditis elegans
O44989	reviewed	Cuticle collagen 49	6239	Caenorhabditis elegans	283	WBGene00000626	col-49	Caenorhabditis elegans
O45105	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	327	WBGene00000675	col-101	Caenorhabditis elegans
O61525	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	313	WBGene00000690	col-116	Caenorhabditis elegans
O62432	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	289	WBGene00001066	dpy-4	Caenorhabditis elegans
O76368	reviewed	Putative cuticle collagen 99	6239	Caenorhabditis elegans	716	WBGene00000674	col-99	Caenorhabditis elegans
P08124	reviewed	Cuticle collagen 1	6239	Caenorhabditis elegans	301	WBGene00005018	sqt-3	Caenorhabditis elegans
P17139	reviewed	Collagen alpha-1(IV) chain	6239	Caenorhabditis elegans	1759	WBGene00001263	emb-9	Caenorhabditis elegans
P17140	reviewed	Collagen alpha-2(IV) chain	6239	Caenorhabditis elegans	1758	WBGene00002280	let-2	Caenorhabditis elegans
P17657	reviewed	Cuticle collagen dpy-13	6239	Caenorhabditis elegans	302	WBGene00001074	dpy-13	Caenorhabditis elegans
P18831	reviewed	Cuticle collagen 6	6239	Caenorhabditis elegans	329	WBGene00004398	rol-8	Caenorhabditis elegans
P18834	reviewed	Cuticle collagen 14	6239	Caenorhabditis elegans	345	WBGene00000603	col-14	Caenorhabditis elegans
P18835	reviewed	Cuticle collagen 19	6239	Caenorhabditis elegans	289	WBGene00000608	col-19	Caenorhabditis elegans
P20630	reviewed	Cuticle collagen 12	6239	Caenorhabditis elegans	316	WBGene00000601	col-12	Caenorhabditis elegans
P20631	reviewed	Cuticle collagen 13	6239	Caenorhabditis elegans	316	WBGene00000602	col-13	Caenorhabditis elegans
P20784	reviewed	Cuticle collagen rol-6	6239	Caenorhabditis elegans	348	WBGene00004397	rol-6	Caenorhabditis elegans
P34687	reviewed	Cuticle collagen 34	6239	Caenorhabditis elegans	299	WBGene00000611	col-34	Caenorhabditis elegans
P34688	reviewed	Cuticle collagen dpy-7	6239	Caenorhabditis elegans	318	WBGene00001069	dpy-7	Caenorhabditis elegans
P34803	reviewed	Cuticle collagen 36	6239	Caenorhabditis elegans	307	WBGene00000613	col-36	Caenorhabditis elegans
P34804	reviewed	Cuticle collagen 40	6239	Caenorhabditis elegans	302	WBGene00000617	col-40	Caenorhabditis elegans
P35799	reviewed	Cuticle collagen dpy-2	6239	Caenorhabditis elegans	360	WBGene00001064	dpy-2	Caenorhabditis elegans
P91249	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	288	WBGene00000609	col-20	Caenorhabditis elegans
P91250	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	285	WBGene00000649	col-73	Caenorhabditis elegans
P91274	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	289	WBGene00000634	col-58	Caenorhabditis elegans
P91285	reviewed	Cuticle collagen dpy-5	6239	Caenorhabditis elegans	284	WBGene00001067	dpy-5	Caenorhabditis elegans
Q09455	reviewed	Cuticle collagen 39	6239	Caenorhabditis elegans	323	WBGene00000616	col-39	Caenorhabditis elegans
Q09456	reviewed	Putative cuticle collagen 80	6239	Caenorhabditis elegans	317	WBGene00000656	col-80	Caenorhabditis elegans
Q09457	reviewed	Cuticle collagen bli-1	6239	Caenorhabditis elegans	948	WBGene00000251	bli-1	Caenorhabditis elegans
Q09578	reviewed	Putative cuticle collagen 75	6239	Caenorhabditis elegans	285	WBGene00000651	col-75	Caenorhabditis elegans
Q17417	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	297	WBGene00000722	col-149	Caenorhabditis elegans
Q17418	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	297	WBGene00000723	col-150	Caenorhabditis elegans
Q17459	reviewed	Putative cuticle collagen 145	6239	Caenorhabditis elegans	294	WBGene00000718	col-145	Caenorhabditis elegans
Q18302	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	299	WBGene00000699	col-125	Caenorhabditis elegans
Q18327	unreviewed	Col_cuticle_N domain-containing protein	6239	Caenorhabditis elegans	307	WBGene00000760	col-187	Caenorhabditis elegans
Q18345	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	452	WBGene00001070	dpy-8	Caenorhabditis elegans
Q18450	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	348	WBGene00000687	col-113	Caenorhabditis elegans
Q18480	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	287	WBGene00000748	col-175	Caenorhabditis elegans
Q18537	unreviewed	Col_cuticle_N domain-containing protein	6239	Caenorhabditis elegans	308	WBGene00000705	col-131	Caenorhabditis elegans
Q18620	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	300	WBGene00000753	col-180	Caenorhabditis elegans
Q18975	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	321	WBGene00000688	col-114	Caenorhabditis elegans
Q19218	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	299	WBGene00000704	col-130	Caenorhabditis elegans
Q19368	unreviewed	Col_cuticle_N domain-containing protein	6239	Caenorhabditis elegans	427	WBGene00000702	col-128	Caenorhabditis elegans
Q19470	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	291	WBGene00000757	col-184	Caenorhabditis elegans
Q19514	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	337	WBGene00000726	col-153	Caenorhabditis elegans
Q19592	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	304	WBGene00000684	col-110	Caenorhabditis elegans
Q19813	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	289	WBGene00000713	col-140	Caenorhabditis elegans
Q1EPL5	unreviewed	COLlagen	6239	Caenorhabditis elegans	301	WBGene00000623	col-46	Caenorhabditis elegans
Q20091	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	304	WBGene00000610	col-33	Caenorhabditis elegans
Q20135	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	306	WBGene00000657	col-81	Caenorhabditis elegans
Q20136	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	306	WBGene00004300	ram-2	Caenorhabditis elegans
Q20142	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	341	WBGene00000745	col-172	Caenorhabditis elegans
Q20270	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	325	WBGene00000746	col-173	Caenorhabditis elegans
Q20739	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	304	WBGene00000621	col-44	Caenorhabditis elegans
Q20744	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	339	WBGene00000598	col-9	Caenorhabditis elegans
Q20754	reviewed	Cuticle collagen 38	6239	Caenorhabditis elegans	287	WBGene00000615	col-38	Caenorhabditis elegans
Q20778	reviewed	Cuticle collagen dpy-17	6239	Caenorhabditis elegans	352	WBGene00001076	dpy-17	Caenorhabditis elegans
Q20805	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	299	WBGene00000727	col-154	Caenorhabditis elegans
Q20880	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	359	WBGene00000695	col-121	Caenorhabditis elegans
Q20921	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	317	WBGene00000733	col-160	Caenorhabditis elegans
Q20922	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	313	WBGene00000732	col-159	Caenorhabditis elegans
Q21039	unreviewed	Col_cuticle_N domain-containing protein	6239	Caenorhabditis elegans	430	WBGene00000750	col-177	Caenorhabditis elegans
Q21184	reviewed	Putative cuticle collagen 155	6239	Caenorhabditis elegans	299	WBGene00000728	col-155	Caenorhabditis elegans
Q21528	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	499	WBGene00000652	col-76	Caenorhabditis elegans
Q21562	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	304	WBGene00000653	col-77	Caenorhabditis elegans
Q22260	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	290	WBGene00000719	col-146	Caenorhabditis elegans
Q22369	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	428	WBGene00000618	col-41	Caenorhabditis elegans
Q22379	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	301	WBGene00000740	col-167	Caenorhabditis elegans
Q22380	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	301	WBGene00000741	col-168	Caenorhabditis elegans
Q22393	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	299	WBGene00000730	col-157	Caenorhabditis elegans
Q22651	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	396	WBGene00000737	col-164	Caenorhabditis elegans
Q23150	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	332	WBGene00000754	col-181	Caenorhabditis elegans
Q23263	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	297	WBGene00000749	col-176	Caenorhabditis elegans
Q23422	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	329	WBGene00000650	col-74	Caenorhabditis elegans
Q23628	reviewed	Cuticle collagen lon-3	6239	Caenorhabditis elegans	324	WBGene00003057	lon-3	Caenorhabditis elegans
Q2XN04	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	279	WBGene00000754	col-181	Caenorhabditis elegans
Q6RSA2	unreviewed	Olfactomedin-like domain-containing protein	6239	Caenorhabditis elegans	598	WBGene00006845	unc-122	
Q7YTG4	unreviewed	Collagen	6239	Caenorhabditis elegans	548	WBGene00000662	col-87	Caenorhabditis elegans
Q7YXA3	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	305	WBGene00000758	col-185	Caenorhabditis elegans
Q7YZV5	unreviewed	Collagen triple helix repeat protein	6239	Caenorhabditis elegans	108	WBGene00000745	col-172	Caenorhabditis elegans
Q86D04	unreviewed	COLlagen	6239	Caenorhabditis elegans	660	WBGene00000708	col-135	Caenorhabditis elegans
Q86FL7	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	301	WBGene00000739	col-166	Caenorhabditis elegans
Q86MP1	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	309	WBGene00000670	col-95	Caenorhabditis elegans
Q86MP2	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	289	WBGene00000671	col-96	Caenorhabditis elegans
Q86NE2	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	307	WBGene00000744	col-171	Caenorhabditis elegans
Q86NE3	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	300	WBGene00000743	col-170	Caenorhabditis elegans
Q86NE4	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	300	WBGene00000742	col-169	Caenorhabditis elegans
Q86S35	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	294	WBGene00000681	col-107	Caenorhabditis elegans
Q8I4C0	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	338	WBGene00013489	col-42	Caenorhabditis elegans
Q8MXR1	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	297	WBGene00000256	bli-6	Caenorhabditis elegans
Q8MXT6	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	296	WBGene00000680	col-106	Caenorhabditis elegans
Q93207	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	316	WBGene00000638	col-62	Caenorhabditis elegans
Q93208	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	342	WBGene00000612	col-35	Caenorhabditis elegans
Q95Y22	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	304	WBGene00000682	col-108	Caenorhabditis elegans
Q966K5	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	335	WBGene00000738	col-165	Caenorhabditis elegans
Q9GYI3	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	332	WBGene00000685	col-111	Caenorhabditis elegans
Q9GYP3	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	314	WBGene00000747	col-174	Caenorhabditis elegans
Q9GYS2	unreviewed	Col_cuticle_N domain-containing protein	6239	Caenorhabditis elegans	321	WBGene00000633	col-56	Caenorhabditis elegans
Q9GZF7	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	460	WBGene00000676	col-102	Caenorhabditis elegans
Q9N3D7	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	285	WBGene00000625	col-48	Caenorhabditis elegans
Q9N3X9	unreviewed	Col_cuticle_N domain-containing protein	6239	Caenorhabditis elegans	393	WBGene00000689	col-115	Caenorhabditis elegans
Q9N4U2	reviewed	Cuticle collagen 71	6239	Caenorhabditis elegans	371	WBGene00000647	col-71	Caenorhabditis elegans
Q9N527	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	291	WBGene00000683	col-109	Caenorhabditis elegans
Q9NA83	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	458	WBGene00004394	rol-1	Caenorhabditis elegans
Q9NAE0	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	351	WBGene00000710	col-137	Caenorhabditis elegans
Q9NAQ4	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	346	WBGene00000658	col-83	Caenorhabditis elegans
Q9TZ57	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	394	WBGene00000645	col-69	Caenorhabditis elegans
Q9U336	unreviewed	Col_cuticle_N domain-containing protein	6239	Caenorhabditis elegans	328	WBGene00000654	col-78	Caenorhabditis elegans
Q9U348	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	304	WBGene00000668	col-93	Caenorhabditis elegans
Q9U349	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	304	WBGene00000669	col-94	Caenorhabditis elegans
Q9U9K7	unreviewed	Fibronectin type-III domain-containing protein	6239	Caenorhabditis elegans	1117	WBGene00000527	cle-1	
Q9XUE9	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	304	WBGene00000707	col-133	Caenorhabditis elegans
Q9XUT4	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	301	WBGene00000641	col-65	Caenorhabditis elegans
Q9XVG3	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	304	WBGene00000667	col-92	Caenorhabditis elegans
Q9XWR2	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	313	WBGene00000694	col-120	Caenorhabditis elegans
U4PC95	unreviewed	Cuticle collagen 99	6239	Caenorhabditis elegans	695	WBGene00000674	col-99	Caenorhabditis elegans
U4PFF3	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	314	WBGene00000675	col-101	Caenorhabditis elegans
U4PM21	unreviewed	Collagen triple helix repeat protein	6239	Caenorhabditis elegans	221	WBGene00000685	col-111	Caenorhabditis elegans
U4PMN6	unreviewed	Cuticle collagen 99	6239	Caenorhabditis elegans	683	WBGene00000674	col-99	Caenorhabditis elegans
U4PRZ7	unreviewed	Cuticle collagen 99	6239	Caenorhabditis elegans	692	WBGene00000674	col-99	Caenorhabditis elegans
V6CLD0	unreviewed	Collagen triple helix repeat protein	6239	Caenorhabditis elegans	172	WBGene00000624	col-47	Caenorhabditis elegans
V6CLE3	unreviewed	Collagen triple helix repeat protein	6239	Caenorhabditis elegans	234	WBGene00000624	col-47	Caenorhabditis elegans
V6CM19	unreviewed	Collagen triple helix repeat protein	6239	Caenorhabditis elegans	258	WBGene00000622	col-45	Caenorhabditis elegans
