Your Input	WormBase Gene ID	UniProt	Reference UniProt ID
WBGene00000253	WBGene00000253	O61213	O61213
WBGene00000254	WBGene00000254	P51559	P51559
WBGene00000255	WBGene00000255	O62247	O62247
WBGene00000256	WBGene00000256	Q8MXR1	Q8MXR1
WBGene00000257	WBGene00000257	G5ECF4, G5EGL7	G5ECF4
WBGene00000259	WBGene00000259	Q9BI98, G5EFB4, G5ECZ9	Q9BI98
WBGene00000260	WBGene00000260	N.A.	N.A.
WBGene00000261	WBGene00000261	N.A.	N.A.
WBGene00000262	WBGene00000262	Q20741	Q20741
WBGene00000263	WBGene00000263	O01917	O01917
WBGene00000264	WBGene00000264	B6VQ60, A0A679L8N4	B6VQ60
WBGene00000265	WBGene00000265	Q21209	Q21209
WBGene00000266	WBGene00000266	Q18801	Q18801
WBGene00000267	WBGene00000267	Q6QMT2, C3JXF0, D0Z5N7	Q6QMT2
WBGene00000268	WBGene00000268	Q03562	Q03562
WBGene00000269	WBGene00000269	Q9GUM2	Q9GUM2
WBGene00000270	WBGene00000270	Q95US5, F5GUA1	Q95US5
WBGene00000271	WBGene00000271	A0A131MCT5, A0A131MBG0	A0A131MCT5
WBGene00000272	WBGene00000272	Q95ZL9	Q95ZL9
WBGene00000273	WBGene00000273	Q9U1S2, I2HAF5	Q9U1S2
WBGene00000274	WBGene00000274	G5EF07	G5EF07
WBGene00000275	WBGene00000275	Q21776	Q21776
WBGene00000276	WBGene00000276	Q20932	Q20932
WBGene00000277	WBGene00000277	Q93249	Q93249
WBGene00000278	WBGene00000278	N.A.	N.A.
WBGene00000279	WBGene00000279	Q20781, A0A131MB23	Q20781
WBGene00000280	WBGene00000280	Q18932	Q18932
WBGene00000281	WBGene00000281	Q27504	Q27504
WBGene00000282	WBGene00000282	Q8WQD8, Q21614	Q21614
WBGene00000283	WBGene00000283	Q10462	Q10462
WBGene00000284	WBGene00000284	O02637	O02637
WBGene00000285	WBGene00000285	P04630, H9G2Z0	P04630
WBGene00000286	WBGene00000286	G5EEG0	G5EEG0
WBGene00000287	WBGene00000287	Q94288, U4PQW9	Q94288
WBGene00000288	WBGene00000288	G5EF93, G5EDZ8, O18058	G5EDZ8
WBGene00000289	WBGene00000289	G5EGK5	G5EGK5
WBGene00000290	WBGene00000290	N.A.	N.A.
WBGene00000291	WBGene00000291	N.A.	N.A.
WBGene00000292	WBGene00000292	P34685	P34685
WBGene00000293	WBGene00000293	P34686	P34686
WBGene00000294	WBGene00000294	H2L023, Q95YA9	Q95YA9
WBGene00000295	WBGene00000295	Q9GNP0	Q9GNP0
WBGene00000296	WBGene00000296	P90986, S6FN11, S6FWP9	P90986
WBGene00000297	WBGene00000297	N.A.	N.A.
WBGene00000298	WBGene00000298	Q19980	Q19980
WBGene00000299	WBGene00000299	N.A.	N.A.
WBGene00000300	WBGene00000300	N.A.	N.A.
WBGene00000301	WBGene00000301	Q94051, H2L2G6	Q94051
WBGene00000302	WBGene00000302	Q18879	Q18879
WBGene00000308	WBGene00000308	N.A.	N.A.
WBGene00000310	WBGene00000310	N.A.	N.A.
WBGene00000311	WBGene00000311	N.A.	N.A.
WBGene00000366	WBGene00000366	P34545	P34545
WBGene00000367	WBGene00000367	A0A0K3ASP4, Q7Z003, Q7YZR6, Q7Z002, G5EBS2	Q7Z003
WBGene00000368	WBGene00000368	O01661	O01661
WBGene00000369	WBGene00000369	Q17345	Q17345
WBGene00000370	WBGene00000370	Q9NA39	Q9NA39
WBGene00000371	WBGene00000371	P90849	P90849
WBGene00000372	WBGene00000372	Q27519	Q27519
WBGene00000373	WBGene00000373	Q27531	Q27531
WBGene00000374	WBGene00000374	N.A.	N.A.
WBGene00000375	WBGene00000375	Q09660	Q09660
WBGene00000376	WBGene00000376	B3GWC3, Q9U1P4, G5EE09, A0A061AD13, Q8I4B4	B3GWC3
WBGene00000377	WBGene00000377	P41988	P41988
WBGene00000378	WBGene00000378	P47207	P47207
WBGene00000379	WBGene00000379	P47208	P47208
WBGene00000380	WBGene00000380	P47209	P47209
WBGene00000381	WBGene00000381	P46550, G8JY43	P46550
WBGene00000382	WBGene00000382	P91155	P91155
WBGene00000383	WBGene00000383	P81299	P81299
WBGene00000384	WBGene00000384	N.A.	N.A.
WBGene00000386	WBGene00000386	O44552	O44552
WBGene00000387	WBGene00000387	O44628, A0A0K3AXQ4, A0A0K3ASE2	O44628
WBGene00000388	WBGene00000388	P30634	P30634
WBGene00000389	WBGene00000389	Q21762	Q21762
WBGene00000390	WBGene00000390	Q05062	Q05062
WBGene00000391	WBGene00000391	Q22922	Q22922
WBGene00000392	WBGene00000392	Q20628	Q20628
WBGene00000393	WBGene00000393	Q95QW4, A0A0K3ASM2	Q95QW4
WBGene00000395	WBGene00000395	P34616	P34616
WBGene00000396	WBGene00000396	Q19319	Q19319
WBGene00000397	WBGene00000397	Q19194, X5M8R9, X5M5L3, H2KZC7	Q19194
WBGene00000399	WBGene00000399	O62328	O62328
WBGene00000401	WBGene00000401	A0A7R9SUP0, Q21035	Q21035
WBGene00000402	WBGene00000402	Q5F4U0	Q5F4U0
WBGene00000403	WBGene00000403	G5ED46, A0A8S4QCC9	G5ED46
WBGene00000405	WBGene00000405	P34556	P34556
WBGene00000406	WBGene00000406	Q9XTR1	Q9XTR1
WBGene00000407	WBGene00000407	G5ECH7	G5ECH7
WBGene00000408	WBGene00000408	G5EFV5	G5EFV5
WBGene00000409	WBGene00000409	P90866	P90866
WBGene00000410	WBGene00000410	Q9TVL3	Q9TVL3
WBGene00000411	WBGene00000411	Q09599	Q09599
WBGene00000412	WBGene00000412	G5EE89	G5EE89
WBGene00000413	WBGene00000413	Q86S68	Q86S68
WBGene00000414	WBGene00000414	P34618	P34618
WBGene00000415	WBGene00000415	Q9XWD6	Q9XWD6
WBGene00000416	WBGene00000416	Q9NHC3, U4PRV3, U4PMJ0	Q9NHC3
WBGene00000417	WBGene00000417	P42573, D3YT61	P42573
WBGene00000418	WBGene00000418	P30429	P30429
WBGene00000419	WBGene00000419	G5EEN3	G5EEN3
WBGene00000420	WBGene00000420	O76337	O76337
WBGene00000421	WBGene00000421	P34358, C0P274	P34358
WBGene00000422	WBGene00000422	O17386	O17386
WBGene00000423	WBGene00000423	P41958	P41958
WBGene00000424	WBGene00000424	Q03206	Q03206
WBGene00000425	WBGene00000425	P34641	P34641
WBGene00000426	WBGene00000426	Q8STE5, V5Z1T2	Q8STE5
WBGene00000427	WBGene00000427	Q9TY06	Q9TY06
WBGene00000428	WBGene00000428	P53547	P53547
WBGene00000429	WBGene00000429	G5ECT8	G5ECT8
WBGene00000430	WBGene00000430	P20269	P20269
WBGene00000431	WBGene00000431	P20268	P20268
WBGene00000432	WBGene00000432	P20270	P20270
WBGene00000433	WBGene00000433	Q94398, A0A0S4XRV4, A0A0S4XRQ4	Q94398
WBGene00000434	WBGene00000434	P56407	P56407
WBGene00000435	WBGene00000435	P41935	P41935
WBGene00000436	WBGene00000436	A0A131MAP5	A0A131MAP5
WBGene00000437	WBGene00000437	P17488	P17488
WBGene00000438	WBGene00000438	P20271	P20271
WBGene00000439	WBGene00000439	P34326	P34326
WBGene00000440	WBGene00000440	G5EC89	G5EC89
WBGene00000441	WBGene00000441	P41934, A0A7R9SVK5	P41934
WBGene00000442	WBGene00000442	P26797	P26797
WBGene00000443	WBGene00000443	P41779	P41779
WBGene00000444	WBGene00000444	Q22811	Q22811
WBGene00000445	WBGene00000445	P41936, A0A2C9C3N2, A0A2C9C312	P41936
WBGene00000446	WBGene00000446	P34663	P34663
WBGene00000447	WBGene00000447	Q9NLC2	Q9NLC2
WBGene00000448	WBGene00000448	P34522	P34522
WBGene00000449	WBGene00000449	Q9XVN4, H2L2F8	Q9XVN4
WBGene00000450	WBGene00000450	G5EE18	G5EE18
WBGene00000451	WBGene00000451	Q22909	Q22909
WBGene00000452	WBGene00000452	Q22910	Q22910
WBGene00000453	WBGene00000453	Q23175	Q23175
WBGene00000454	WBGene00000454	Q94166	Q94166
WBGene00000455	WBGene00000455	Q94165	Q94165
WBGene00000457	WBGene00000457	Q93352	Q93352
WBGene00000458	WBGene00000458	Q93356, A0A078BPE8, A0A4V6M3C3, A0A078BPG5	Q93356
WBGene00000459	WBGene00000459	Q19720, A0A1X7RBM0, A0A1X7RBS0, A0A1X7RC50, A0A1X7RBK4, A0A1X7RCV1, A0A1X7RBJ5, A0A1X7RBR4, A0A1X7RBK3, A0A1X7RBM7, A0A1X7RBJ2, A0A1X7RCT5, A0A1X7RC48, A0A1X7RBN7, A0A1X7RBK2	Q19720
WBGene00000460	WBGene00000460	Q22812	Q22812
WBGene00000461	WBGene00000461	Q19503	Q19503
WBGene00000462	WBGene00000462	Q22810	Q22810
WBGene00000463	WBGene00000463	Q18273, A0A1X7RBT1	Q18273
WBGene00000464	WBGene00000464	Q9BL02	Q9BL02
WBGene00000465	WBGene00000465	Q17802	Q17802
WBGene00000466	WBGene00000466	Q17607, Q6A3Q2	Q17607
WBGene00000467	WBGene00000467	Q20646	Q20646
WBGene00000468	WBGene00000468	G5ECN8	G5ECN8
WBGene00000469	WBGene00000469	Q94126	Q94126
WBGene00000470	WBGene00000470	N.A.	N.A.
WBGene00000471	WBGene00000471	N.A.	N.A.
WBGene00000472	WBGene00000472	O62213	O62213
WBGene00000473	WBGene00000473	P91306	P91306
WBGene00000474	WBGene00000474	P91398	P91398
WBGene00000475	WBGene00000475	G5EDV3	G5EDV3
WBGene00000476	WBGene00000476	O02326	O02326
WBGene00000477	WBGene00000477	Q95QV2	Q95QV2
WBGene00000478	WBGene00000478	G5ECQ2	G5ECQ2
WBGene00000479	WBGene00000479	Q95YF3	Q95YF3
WBGene00000480	WBGene00000480	Q18905, A0A0K3AW00, A0A0K3ASE6	Q18905
WBGene00000481	WBGene00000481	P32756	P32756
WBGene00000482	WBGene00000482	Q22516	Q22516
WBGene00000483	WBGene00000483	Q966L8, Q0PCD8	Q966L8
WBGene00000484	WBGene00000484	G5EGF0	G5EGF0
WBGene00000485	WBGene00000485	Q19542	Q19542
WBGene00000487	WBGene00000487	O61827	O61827
WBGene00000488	WBGene00000488	A0A131MB33, A0A131MB60, A0A131MBQ3, A0A131MBM6	A0A131MB60
WBGene00000490	WBGene00000490	P90757	P90757
WBGene00000491	WBGene00000491	Q17423	Q17423
WBGene00000492	WBGene00000492	Q93833	Q93833
WBGene00000493	WBGene00000493	G5EEW0	G5EEW0
WBGene00000494	WBGene00000494	N.A.	N.A.
WBGene00000495	WBGene00000495	N.A.	N.A.
WBGene00000496	WBGene00000496	G5ECD6	G5ECD6
WBGene00000497	WBGene00000497	G5EBQ8, A0A0K3AR16	G5EBQ8
WBGene00000498	WBGene00000498	Q9N3Z3	Q9N3Z3
WBGene00000499	WBGene00000499	Q9U1Y5	Q9U1Y5
WBGene00000500	WBGene00000500	G5ECY6	G5ECY6
WBGene00000501	WBGene00000501	O02228	O02228
WBGene00000502	WBGene00000502	G5EEI8	G5EEI8
WBGene00000503	WBGene00000503	Q11174	Q11174
WBGene00000504	WBGene00000504	N.A.	N.A.
WBGene00000505	WBGene00000505	N.A.	N.A.
WBGene00000506	WBGene00000506	Q9TYP2	Q9TYP2
WBGene00000507	WBGene00000507	P34425	P34425
WBGene00000508	WBGene00000508	P34424	P34424
WBGene00000509	WBGene00000509	A0A061AIW1, O17610, B3GWD5	O17610
WBGene00000510	WBGene00000510	Q22942	Q22942
WBGene00000511	WBGene00000511	P46558	P46558
WBGene00000512	WBGene00000512	P46559	P46559
WBGene00000513	WBGene00000513	P46560	P46560
WBGene00000514	WBGene00000514	Q9GZF3	Q9GZF3
WBGene00000515	WBGene00000515	Q86MJ6, Q22820	Q22820
WBGene00000516	WBGene00000516	Q22197	Q22197
WBGene00000517	WBGene00000517	U4PBK8, G5EEJ2, Q22198	G5EEJ2
WBGene00000518	WBGene00000518	Q3Y416	Q3Y416
WBGene00000519	WBGene00000519	Q9U2D2	Q9U2D2
WBGene00000520	WBGene00000520	Q21829, A0A131MBI3, A0A131MCF2	Q21829
WBGene00000521	WBGene00000521	G5EFL9	G5EFL9
WBGene00000522	WBGene00000522	Q93198	Q93198
WBGene00000523	WBGene00000523	Q11085, A0A4V0IK28	Q11085
WBGene00000524	WBGene00000524	H2KYF7, Q23532	Q23532
WBGene00000525	WBGene00000525	Q22191	Q22191
WBGene00000526	WBGene00000526	Q9NGJ7	Q9NGJ7
WBGene00000527	WBGene00000527	G5EDQ4, G5EDV5, G5EGA4, G5EF89	G5EGA4
WBGene00000528	WBGene00000528	A0A8D9MJ86, A0A8D9I7J7, A0A8D9MJW7, A0A8D9I637, G5EDQ0, A0A8D9MHU6, Q22833	A0A8D9MJW7
WBGene00000529	WBGene00000529	G5EG93, G5EEX0, G5EGQ0	G5EG93
WBGene00000530	WBGene00000530	Q9BMK9, A0A0K3AUJ7, A0A0K3AR01, A0A0K3ARJ6, A0A0K3AWV4, A0A0K3ATY0, A0A0K3AR06, A0A0K3ATX5	Q9BMK9
